Category,Box Name,Product1,Product2,Product3,Product4,Product5
Teen,Chill Zone,Pop‑it,Roll‑on menthe,Breathing card,Bracelet froid,Carte mindfulness QR
Teen,Sleep Hack,Gummies mélatonine,Masque gamer,Brume oreiller,Bouchons mousse,Guide routine sommeil
Teen,Self‑Confidence,Stickers mantra,Carnet défis,Badge 'I got this',Bracelet amitié,Podcast confiance QR
Teen,Social Boost,Jeu ice‑breaker,Pin’s smile,Cartes compliment,Mini carnet contacts,Challenge social QR
Teen,Mood Tracker,Journal emojis,Stylos pastel,Stickers humeur,App mood tracking QR,Bouteille sensorielle
Teen,Digital Detox,Pochette phone pause,Cartes IRL,Défi no‑screen,Timer œuf,Guide posture dos
Teen,Focus Gamer,Bouchons anti‑bruit,Pomodoro app QR,Cube fidget,Planner game/study,Snack noix énergie
Teen,Creative Spark,Kit tote‑bag,Feutres textile,Tuto design QR,Stickers DIY,Écusson thermocollant
Teen,Eco Warrior,Graines bombes fleurs,Badge écolo,Guide actions vertes,Bracelet recyclé,Poster biodiversité
Teen,Future Builder,Test talents,Mentorat vidéo,Carnet carrière,Badge dream big,Workshop orientation QR
Event Family,Rentrée Zen,Planner scolaire,Routine matin magnets,Stickers encouragement,Tisane énergie,Checklist fournitures
Event Family,Vacances Déconnexion,Guide road‑trip,Cartes défis nature,Carnet voyage,Crème solaire,Sac coton
Event Family,Anniversaire Feel‑Good,Guirlande émotions,Journal souhaits,Ballons bio,Bougie miel,Carte vœux 3D
Event Family,Fête des Parents,Café grand cru,Carte gratitude,Mug personnalisable,Kit gâteau minute,Marque‑page citation
Event Family,Marathon Devoirs,Timer cube 25‑5,Snacks cérébraux,Fiches révision,Stylo 4 couleurs,Affiche concentration
Event Family,Week‑end Nature,Carnet rando,Jumelles kids,Pochette graines,Boussole mini,Guide sons nature
Event Family,Fêtes de Fin d’Année,Jeu bocal souvenirs,Bougie cannelle,Cartes traditions,Mini sapin planter,Chocolat équitable
Event Family,Journée Bonheur,Cartes kindness,Ballon smile,Badge happy,Journal gratitude,Tisane citrus
Event Family,Déménagement Smooth,Checklist zen,Bougie réconfort,Marqueurs couleur,Carton souvenirs,Guide tri objet
Event Family,Victoire Sportive,Médaille bois,Masque récup,Bande élastique,Boisson électrolyte,Sticker médaille
Event Enterprise,Retirement Tribute,Journal gratitude,Livre souvenir,Thé gourmet,Voucher expérience,Stylo gravé
Event Enterprise,Promotion Celebration,Mini bouteille champagne,Pin réussite,Plaque nom bureau,Livre leadership,Chocolats artisanaux
Event Enterprise,Farewell Journey,Carnet voyage,Poster carte monde,Gourde inox,Cartes vœux collègues,Étiquette bagage
Event Enterprise,Wedding Wishes,Bougie parfumée,Flûtes gravées,Carte félicitations,Confiture artisanale,Thé rose
Event Enterprise,Welcome Baby,Couverture bébé bio,Peluche douce,Tisane jeune maman,Cartes étapes bébé,Playlist berceuse QR
Event Enterprise,Condolence Support,Bougie réconfort,Tisane sérénité,Carte condoléances,Livret pleine conscience,Graines souvenir
Event Enterprise,Service Milestone,Trophée plexi,Cadre photo,Mug édition limitée,Livret remerciements,Confettis biodégradables
Event Enterprise,New Role Starter,Carnet premium,Balle anti‑stress,Stand citation motivante,Café spécialité,Organisateur bureau
Event Enterprise,Engagement Congrats,Jus pétillant,Bougie célébration,Journal couple,Macarons gourmets,Porte‑photo cœur
Event Enterprise,Housewarming Cheers,Savons artisanaux,Plante verte,Livre recettes faciles,Torchons lin,Bougie bienvenue
